Dorm,Appliance,Season,Hour,Month,DayOfWeek,Usage (kWh)
Adams Hall,Phones,Winter,2,1,3,0.39
Chu Hall,Fridges,Winter,3,1,3,1.55
Kaplanis Hall,Fans,Winter,4,1,3,2.02
Gillespie Hall,Kettles,Winter,5,1,3,2.51
Adams Hall,Air Conditioners,Winter,6,1,3,2.0
Adams Hall,Cooking Wares,Winter,7,1,3,0.65
Moulton House,Fans,Winter,8,1,3,0.89
Chu Hall,Cooking Wares,Winter,9,1,3,0.53
Kaplanis Hall,Fans,Winter,10,1,3,1.97
Gillespie Hall,Fans,Winter,11,1,3,0.93
Gillespie Hall,Heaters,Winter,12,1,3,1.57
Gillespie Hall,Laptops,Winter,13,1,3,0.93
Moulton House,Laptops,Winter,14,1,3,1.93
Gillespie Hall,Laptops,Winter,15,1,3,2.36
Adams Hall,Lamps,Winter,16,1,3,1.7
Chu Hall,Cooking Wares,Winter,17,1,3,2.1
Smith Hall,Fans,Winter,18,1,3,0.22
Moulton House,Heaters,Winter,19,1,3,1.14
Adams Hall,Lamps,Winter,20,1,3,3.43
Moulton House,Laptops,Winter,21,1,3,2.26
Parker Hall,Fridges,Winter,22,1,3,0.87
Village,Heaters,Winter,23,1,3,1.84
Gillespie Hall,Cooking Wares,Winter,0,1,4,2.27
Moulton House,Air Conditioners,Winter,1,1,4,2.22
Smith Hall,Fridges,Winter,2,1,4,1.84
Smith Hall,Laptops,Winter,3,1,4,2.24
Kaplanis Hall,Lamps,Winter,4,1,4,1.78
Smith Hall,Kettles,Winter,5,1,4,0.19
Village,Phones,Winter,6,1,4,1.39
Smith Hall,Fridges,Winter,7,1,4,0.54
Smith Hall,Fridges,Winter,8,1,4,0.4
Kaplanis Hall,Heaters,Winter,9,1,4,0.51
Moulton House,Kettles,Winter,10,1,4,2.59
Adams Hall,Air Conditioners,Winter,11,1,4,1.01
Smith Hall,Fans,Winter,12,1,4,1.21
Parker Hall,Fans,Winter,13,1,4,1.74
Adams Hall,Laptops,Winter,14,1,4,2.25
Smith Hall,Phones,Winter,15,1,4,0.85
Parker Hall,Lamps,Winter,16,1,4,1.22
Kaplanis Hall,Phones,Winter,17,1,4,2.59
Moulton House,Phones,Winter,18,1,4,0.67
Smith Hall,Laptops,Winter,19,1,4,3.21
Gillespie Hall,Kettles,Winter,20,1,4,1.71
Parker Hall,Lamps,Winter,21,1,4,3.5
Chu Hall,Kettles,Winter,22,1,4,3.83
Smith Hall,Lamps,Winter,23,1,4,1.61
Parker Hall,Cooking Wares,Winter,0,1,5,0.67
Gillespie Hall,Kettles,Winter,1,1,5,1.39
Chu Hall,Cooking Wares,Winter,2,1,5,1.76
Chu Hall,Phones,Winter,3,1,5,0.68
Smith Hall,Kettles,Winter,4,1,5,0.8
Smith Hall,Air Conditioners,Winter,5,1,5,1.89
Adams Hall,Cooking Wares,Winter,6,1,5,2.3
Parker Hall,Air Conditioners,Winter,7,1,5,1.25
Kaplanis Hall,Phones,Winter,8,1,5,0.89
Chu Hall,Laptops,Winter,9,1,5,2.58
Moulton House,Fridges,Winter,10,1,5,2.02
Smith Hall,Fridges,Winter,11,1,5,0.56
Gillespie Hall,Heaters,Winter,12,1,5,0.93
Gillespie Hall,Phones,Winter,13,1,5,0.41
Kaplanis Hall,Laptops,Winter,14,1,5,0.76
Chu Hall,Cooking Wares,Winter,15,1,5,0.56
Village,Fans,Winter,16,1,5,1.86
Chu Hall,Laptops,Winter,17,1,5,1.7
Gillespie Hall,Fans,Winter,18,1,5,0.79
Smith Hall,Laptops,Winter,19,1,5,3.48
Parker Hall,Lamps,Winter,20,1,5,2.72
Moulton House,Fans,Winter,21,1,5,2.05
Village,Phones,Winter,22,1,5,3.77
Kaplanis Hall,Fridges,Winter,23,1,5,1.67
Smith Hall,Fans,Winter,0,1,6,1.96
Smith Hall,Fridges,Winter,1,1,6,0.24
Moulton House,Laptops,Winter,2,1,6,2.08
Smith Hall,Cooking Wares,Winter,3,1,6,1.46
Chu Hall,Phones,Winter,4,1,6,0.45
Kaplanis Hall,Laptops,Winter,5,1,6,1.28
Moulton House,Air Conditioners,Winter,6,1,6,0.91
Moulton House,Air Conditioners,Winter,7,1,6,2.03
Moulton House,Fans,Winter,8,1,6,2.46
Moulton House,Cooking Wares,Winter,9,1,6,1.01
Parker Hall,Cooking Wares,Winter,10,1,6,0.18
Gillespie Hall,Air Conditioners,Winter,11,1,6,0.95
Moulton House,Lamps,Winter,12,1,6,1.34
Gillespie Hall,Heaters,Winter,13,1,6,2.57
Smith Hall,Fridges,Winter,14,1,6,0.7
Chu Hall,Lamps,Winter,15,1,6,2.1
Moulton House,Fans,Winter,16,1,6,0.88
Village,Phones,Winter,17,1,6,2.49
Chu Hall,Fridges,Winter,18,1,6,2.95
Village,Air Conditioners,Winter,19,1,6,1.9
Chu Hall,Cooking Wares,Winter,20,1,6,3.7
Smith Hall,Laptops,Winter,21,1,6,1.84
Gillespie Hall,Heaters,Winter,22,1,6,0.25
Smith Hall,Kettles,Winter,23,1,6,1.84
Parker Hall,Heaters,Winter,0,1,0,1.27
Chu Hall,Phones,Winter,1,1,0,0.66
Chu Hall,Cooking Wares,Winter,2,1,0,1.23
Adams Hall,Kettles,Winter,3,1,0,1.92
Village,Kettles,Winter,4,1,0,1.99
Chu Hall,Lamps,Winter,5,1,0,2.2
Parker Hall,Cooking Wares,Winter,6,1,0,0.45
Parker Hall,Fans,Winter,7,1,0,1.2
Moulton House,Laptops,Winter,8,1,0,0.72
Gillespie Hall,Cooking Wares,Winter,9,1,0,1.57
Adams Hall,Phones,Winter,10,1,0,0.38
Adams Hall,Lamps,Winter,11,1,0,1.87
Kaplanis Hall,Phones,Winter,12,1,0,1.64
Moulton House,Phones,Winter,13,1,0,0.58
Adams Hall,Fridges,Winter,14,1,0,0.59
Kaplanis Hall,Lamps,Winter,15,1,0,2.6
Adams Hall,Lamps,Winter,16,1,0,0.23
Parker Hall,Lamps,Winter,17,1,0,1.57
Gillespie Hall,Kettles,Winter,18,1,0,3.74
Kaplanis Hall,Phones,Winter,19,1,0,2.13
Gillespie Hall,Air Conditioners,Winter,20,1,0,0.25
Chu Hall,Laptops,Winter,21,1,0,1.02
Gillespie Hall,Air Conditioners,Winter,22,1,0,3.67
Village,Fridges,Winter,23,1,0,2.48
Smith Hall,Fans,Winter,0,1,1,2.26
Adams Hall,Kettles,Winter,1,1,1,1.57
Parker Hall,Air Conditioners,Winter,2,1,1,1.24
Adams Hall,Cooking Wares,Winter,3,1,1,1.35
Village,Cooking Wares,Winter,4,1,1,0.35
Village,Laptops,Winter,5,1,1,0.98
Adams Hall,Laptops,Winter,6,1,1,1.33
Smith Hall,Heaters,Winter,7,1,1,0.76
Chu Hall,Phones,Winter,8,1,1,0.7
Parker Hall,Lamps,Winter,9,1,1,0.41
Chu Hall,Phones,Winter,10,1,1,1.53
Gillespie Hall,Cooking Wares,Winter,11,1,1,0.7
Village,Fans,Winter,12,1,1,1.87
Adams Hall,Fans,Winter,13,1,1,0.78
Village,Kettles,Winter,14,1,1,1.19
Parker Hall,Heaters,Winter,15,1,1,2.45
Adams Hall,Kettles,Winter,16,1,1,0.8
Adams Hall,Laptops,Winter,17,1,1,2.5
Moulton House,Laptops,Winter,18,1,1,1.49
Gillespie Hall,Fans,Winter,19,1,1,1.5
Parker Hall,Air Conditioners,Winter,20,1,1,3.64
Smith Hall,Cooking Wares,Winter,21,1,1,3.0
Gillespie Hall,Lamps,Winter,22,1,1,2.0
Village,Kettles,Winter,23,1,1,2.37
Adams Hall,Laptops,Winter,0,1,2,1.34
Parker Hall,Laptops,Winter,1,1,2,1.5
Smith Hall,Lamps,Winter,2,1,2,2.33
Moulton House,Fans,Winter,3,1,2,0.79
Kaplanis Hall,Air Conditioners,Winter,4,1,2,1.03
Village,Heaters,Winter,5,1,2,2.42
Village,Air Conditioners,Winter,6,1,2,2.38
Smith Hall,Lamps,Winter,7,1,2,0.48
Village,Air Conditioners,Winter,8,1,2,1.87
Chu Hall,Heaters,Winter,9,1,2,2.32
Village,Air Conditioners,Winter,10,1,2,0.67
Village,Fridges,Winter,11,1,2,2.57
Kaplanis Hall,Kettles,Winter,12,1,2,0.73
Village,Lamps,Winter,13,1,2,0.66
Gillespie Hall,Fridges,Winter,14,1,2,1.62
Kaplanis Hall,Heaters,Winter,15,1,2,1.73
Parker Hall,Phones,Winter,16,1,2,1.56
Moulton House,Phones,Winter,17,1,2,0.55
Parker Hall,Fans,Winter,18,1,2,2.2
Gillespie Hall,Cooking Wares,Winter,19,1,2,3.24
Moulton House,Lamps,Winter,20,1,2,3.38
Chu Hall,Fridges,Winter,21,1,2,1.3
Adams Hall,Phones,Winter,22,1,2,3.07
Kaplanis Hall,Fridges,Winter,23,1,2,0.54
Smith Hall,Cooking Wares,Winter,0,1,3,2.4
Parker Hall,Air Conditioners,Winter,1,1,3,2.21
Gillespie Hall,Cooking Wares,Winter,2,1,3,1.7
Village,Lamps,Winter,3,1,3,0.71
Adams Hall,Fridges,Winter,4,1,3,0.38
Village,Air Conditioners,Winter,5,1,3,1.61
Adams Hall,Fridges,Winter,6,1,3,0.96
Chu Hall,Air Conditioners,Winter,7,1,3,2.05
Kaplanis Hall,Heaters,Winter,8,1,3,0.25
Chu Hall,Phones,Winter,9,1,3,2.33
Chu Hall,Lamps,Winter,10,1,3,0.58
Moulton House,Phones,Winter,11,1,3,1.94
Smith Hall,Cooking Wares,Winter,12,1,3,1.34
Village,Fridges,Winter,13,1,3,0.24
Smith Hall,Fans,Winter,14,1,3,0.19
Gillespie Hall,Fans,Winter,15,1,3,1.19
Chu Hall,Fans,Winter,16,1,3,2.53
Adams Hall,Fans,Winter,17,1,3,1.49
Gillespie Hall,Heaters,Winter,18,1,3,1.36
Moulton House,Laptops,Winter,19,1,3,0.73
Adams Hall,Fridges,Winter,20,1,3,0.31
Kaplanis Hall,Laptops,Winter,21,1,3,3.2
Parker Hall,Phones,Winter,22,1,3,1.48
Adams Hall,Phones,Winter,23,1,3,2.27
Smith Hall,Air Conditioners,Winter,0,1,4,0.25
Moulton House,Fridges,Winter,1,1,4,1.38
Smith Hall,Heaters,Winter,2,1,4,2.37
Adams Hall,Lamps,Winter,3,1,4,0.23
Village,Cooking Wares,Winter,4,1,4,0.49
Kaplanis Hall,Lamps,Winter,5,1,4,0.68
Moulton House,Kettles,Winter,6,1,4,0.77
Parker Hall,Laptops,Winter,7,1,4,0.76
Chu Hall,Heaters,Winter,8,1,4,1.88
Parker Hall,Laptops,Winter,9,1,4,0.14
Gillespie Hall,Air Conditioners,Winter,10,1,4,1.74
Moulton House,Fridges,Winter,11,1,4,0.85
Gillespie Hall,Phones,Winter,12,1,4,1.29
Parker Hall,Lamps,Winter,13,1,4,1.57
Adams Hall,Heaters,Winter,14,1,4,1.14
Smith Hall,Fridges,Winter,15,1,4,1.22
Adams Hall,Fridges,Winter,16,1,4,0.58
Kaplanis Hall,Phones,Winter,17,1,4,2.12
Kaplanis Hall,Air Conditioners,Winter,18,1,4,0.34
Moulton House,Cooking Wares,Winter,19,1,4,3.58
Gillespie Hall,Fridges,Winter,20,1,4,3.31
Smith Hall,Fridges,Winter,21,1,4,2.26
Kaplanis Hall,Fridges,Winter,22,1,4,1.66
Smith Hall,Kettles,Winter,23,1,4,0.37
Adams Hall,Air Conditioners,Winter,0,1,5,2.01
Gillespie Hall,Laptops,Winter,1,1,5,2.14
Smith Hall,Lamps,Winter,2,1,5,0.21
Smith Hall,Heaters,Winter,3,1,5,0.35
Chu Hall,Laptops,Winter,4,1,5,0.16
Moulton House,Kettles,Winter,5,1,5,1.51
Gillespie Hall,Kettles,Winter,6,1,5,1.37
Smith Hall,Phones,Winter,7,1,5,0.53
Adams Hall,Air Conditioners,Winter,8,1,5,2.0
Moulton House,Cooking Wares,Winter,9,1,5,0.96
Village,Laptops,Winter,10,1,5,0.91
Chu Hall,Fans,Winter,11,1,5,1.62
Chu Hall,Air Conditioners,Winter,12,1,5,1.52
Parker Hall,Lamps,Winter,13,1,5,1.23
Kaplanis Hall,Cooking Wares,Winter,14,1,5,1.87
Smith Hall,Lamps,Winter,15,1,5,2.19
Kaplanis Hall,Lamps,Winter,16,1,5,0.99
Adams Hall,Phones,Winter,17,1,5,2.42
Moulton House,Heaters,Winter,18,1,5,1.22
Kaplanis Hall,Laptops,Winter,19,1,5,2.58
Gillespie Hall,Lamps,Winter,20,1,5,3.07
Kaplanis Hall,Fridges,Winter,21,1,5,0.93
Adams Hall,Lamps,Winter,22,1,5,1.36
Parker Hall,Laptops,Winter,23,1,5,2.32
Adams Hall,Heaters,Winter,0,1,6,0.33
Chu Hall,Laptops,Winter,1,1,6,2.02
Adams Hall,Air Conditioners,Winter,2,1,6,0.19
Adams Hall,Lamps,Winter,3,1,6,5.2
Adams Hall,Kettles,Winter,4,1,6,1.25
Smith Hall,Heaters,Winter,5,1,6,1.37
Village,Cooking Wares,Winter,6,1,6,0.27
Kaplanis Hall,Heaters,Winter,7,1,6,1.95
Smith Hall,Lamps,Winter,8,1,6,0.99
Village,Air Conditioners,Winter,9,1,6,0.85
Smith Hall,Fans,Winter,10,1,6,1.04
Moulton House,Kettles,Winter,11,1,6,2.29
Gillespie Hall,Heaters,Winter,12,1,6,0.83
Moulton House,Fans,Winter,13,1,6,0.76
Smith Hall,Lamps,Winter,14,1,6,1.02
Kaplanis Hall,Fridges,Winter,15,1,6,1.52
Parker Hall,Lamps,Winter,16,1,6,1.73
Moulton House,Air Conditioners,Winter,17,1,6,2.24
Village,Lamps,Winter,18,1,6,0.86
Adams Hall,Air Conditioners,Winter,19,1,6,3.14
Gillespie Hall,Fridges,Winter,20,1,6,1.32
Parker Hall,Kettles,Winter,21,1,6,1.0
Kaplanis Hall,Lamps,Winter,22,1,6,2.38
Smith Hall,Fridges,Winter,23,1,6,0.79
Moulton House,Lamps,Winter,0,1,0,1.88
Smith Hall,Laptops,Winter,1,1,0,0.87
Parker Hall,Fridges,Winter,2,1,0,0.78
Kaplanis Hall,Fridges,Winter,3,1,0,1.38
Adams Hall,Laptops,Winter,4,1,0,1.43
Moulton House,Laptops,Winter,5,1,0,0.57
Chu Hall,Kettles,Winter,6,1,0,0.85
Smith Hall,Fans,Winter,7,1,0,2.35
Kaplanis Hall,Phones,Winter,8,1,0,0.56
Kaplanis Hall,Kettles,Winter,9,1,0,0.97
Parker Hall,Lamps,Winter,10,1,0,0.57
Smith Hall,Laptops,Winter,11,1,0,0.65
Parker Hall,Fridges,Winter,12,1,0,0.71
Adams Hall,Kettles,Winter,13,1,0,2.07
Kaplanis Hall,Fans,Winter,14,1,0,1.46
Parker Hall,Lamps,Winter,15,1,0,2.01
Parker Hall,Phones,Winter,16,1,0,1.49
Adams Hall,Laptops,Winter,17,1,0,0.46
Kaplanis Hall,Kettles,Winter,18,1,0,2.87
Parker Hall,Cooking Wares,Winter,19,1,0,0.26
Village,Air Conditioners,Winter,20,1,0,0.5
Kaplanis Hall,Lamps,Winter,21,1,0,0.61
Kaplanis Hall,Fans,Winter,22,1,0,2.41
Chu Hall,Kettles,Winter,23,1,0,2.16
Adams Hall,Laptops,Winter,0,1,1,1.41
Kaplanis Hall,Air Conditioners,Winter,1,1,1,1.0
Village,Kettles,Winter,2,1,1,1.29
Parker Hall,Heaters,Winter,3,1,1,0.37
Village,Kettles,Winter,4,1,1,2.25
Adams Hall,Kettles,Winter,5,1,1,1.94
Smith Hall,Cooking Wares,Winter,6,1,1,2.57
Village,Phones,Winter,7,1,1,0.75
Moulton House,Cooking Wares,Winter,8,1,1,0.19
Smith Hall,Fans,Winter,9,1,1,1.91
Chu Hall,Laptops,Winter,10,1,1,1.16
Gillespie Hall,Fans,Winter,11,1,1,1.75
Moulton House,Heaters,Winter,12,1,1,0.87
Smith Hall,Lamps,Winter,13,1,1,1.47
Kaplanis Hall,Laptops,Winter,14,1,1,1.22
Gillespie Hall,Heaters,Winter,15,1,1,0.3
Moulton House,Cooking Wares,Winter,16,1,1,0.15
Village,Cooking Wares,Winter,17,1,1,0.66
Gillespie Hall,Fridges,Winter,18,1,1,3.12
Chu Hall,Kettles,Winter,19,1,1,2.06
Adams Hall,Fans,Winter,20,1,1,0.95
Smith Hall,Cooking Wares,Winter,21,1,1,2.08
Smith Hall,Lamps,Winter,22,1,1,1.72
Moulton House,Lamps,Winter,23,1,1,1.92
Village,Fridges,Winter,0,1,2,2.01
Kaplanis Hall,Fridges,Winter,1,1,2,2.1
Moulton House,Kettles,Winter,2,1,2,2.3
Smith Hall,Phones,Winter,3,1,2,1.13
Smith Hall,Lamps,Winter,4,1,2,0.78
Parker Hall,Cooking Wares,Winter,5,1,2,1.15
Moulton House,Heaters,Winter,6,1,2,1.53
Gillespie Hall,Lamps,Winter,7,1,2,1.77
Smith Hall,Phones,Winter,8,1,2,1.56
Adams Hall,Cooking Wares,Winter,9,1,2,1.48
Gillespie Hall,Laptops,Winter,10,1,2,0.83
Adams Hall,Lamps,Winter,11,1,2,0.72
Kaplanis Hall,Heaters,Winter,12,1,2,2.16
Moulton House,Cooking Wares,Winter,13,1,2,1.43
Gillespie Hall,Heaters,Winter,14,1,2,1.55
Parker Hall,Fans,Winter,15,1,2,0.7
Kaplanis Hall,Kettles,Winter,16,1,2,1.26
Smith Hall,Air Conditioners,Winter,17,1,2,0.19
Parker Hall,Air Conditioners,Winter,18,1,2,2.52
Chu Hall,Kettles,Winter,19,1,2,3.84
Moulton House,Fans,Winter,20,1,2,2.23
Gillespie Hall,Lamps,Winter,21,1,2,2.12
Chu Hall,Fridges,Winter,22,1,2,2.22
Village,Kettles,Winter,23,1,2,2.43
Moulton House,Laptops,Winter,0,1,3,0.76
Parker Hall,Fans,Winter,1,1,3,2.25
Adams Hall,Heaters,Winter,2,1,3,5.1
Adams Hall,Air Conditioners,Winter,3,1,3,0.17
Kaplanis Hall,Heaters,Winter,4,1,3,1.36
Adams Hall,Lamps,Winter,5,1,3,0.74
Kaplanis Hall,Phones,Winter,6,1,3,1.27
Adams Hall,Cooking Wares,Winter,7,1,3,2.28
Kaplanis Hall,Fridges,Winter,8,1,3,0.83
Chu Hall,Heaters,Winter,9,1,3,0.3
Village,Fans,Winter,10,1,3,1.74
Kaplanis Hall,Fans,Winter,11,1,3,0.46
Moulton House,Laptops,Winter,12,1,3,0.23
Parker Hall,Kettles,Winter,13,1,3,0.52
Smith Hall,Fridges,Winter,14,1,3,0.7
Parker Hall,Laptops,Winter,15,1,3,1.64
Adams Hall,Fans,Winter,16,1,3,1.69
Gillespie Hall,Fridges,Winter,17,1,3,2.14
Village,Laptops,Winter,18,1,3,3.28
Chu Hall,Air Conditioners,Winter,19,1,3,2.39
Kaplanis Hall,Phones,Winter,20,1,3,2.48
Village,Lamps,Winter,21,1,3,1.62
Parker Hall,Phones,Winter,22,1,3,2.07
Chu Hall,Phones,Winter,23,1,3,0.83
Smith Hall,Laptops,Winter,0,1,4,1.89
Smith Hall,Fans,Winter,1,1,4,0.27
Adams Hall,Air Conditioners,Winter,2,1,4,0.9
Adams Hall,Phones,Winter,3,1,4,1.82
Kaplanis Hall,Phones,Winter,4,1,4,1.43
Gillespie Hall,Fridges,Winter,5,1,4,0.81
Kaplanis Hall,Fans,Winter,6,1,4,1.42
Village,Kettles,Winter,7,1,4,0.91
Parker Hall,Air Conditioners,Winter,8,1,4,1.96
Chu Hall,Air Conditioners,Winter,9,1,4,0.31
Chu Hall,Air Conditioners,Winter,10,1,4,2.49
Adams Hall,Air Conditioners,Winter,11,1,4,1.77
Smith Hall,Lamps,Winter,12,1,4,2.51
Chu Hall,Cooking Wares,Winter,13,1,4,0.64
Gillespie Hall,Heaters,Winter,14,1,4,0.27
Village,Heaters,Winter,15,1,4,1.71
Adams Hall,Heaters,Winter,16,1,4,0.28
Moulton House,Heaters,Winter,17,1,4,1.31
Moulton House,Heaters,Winter,18,1,4,0.22
Moulton House,Fans,Winter,19,1,4,0.83
Adams Hall,Heaters,Winter,20,1,4,1.41
Village,Laptops,Winter,21,1,4,0.34
Village,Kettles,Winter,22,1,4,0.38
Gillespie Hall,Lamps,Winter,23,1,4,1.84
Parker Hall,Fans,Winter,0,1,5,1.62
Moulton House,Fans,Winter,1,1,5,1.06
Kaplanis Hall,Laptops,Winter,2,1,5,1.95
Chu Hall,Cooking Wares,Winter,3,1,5,1.05
Village,Air Conditioners,Winter,4,1,5,0.69
Parker Hall,Heaters,Winter,5,1,5,0.7
Village,Cooking Wares,Winter,6,1,5,1.73
Moulton House,Heaters,Winter,7,1,5,0.22
Smith Hall,Lamps,Winter,8,1,5,2.45
Gillespie Hall,Air Conditioners,Winter,9,1,5,0.38
Village,Laptops,Winter,10,1,5,2.48
Smith Hall,Phones,Winter,11,1,5,1.3
Village,Heaters,Winter,12,1,5,0.93
Moulton House,Laptops,Winter,13,1,5,0.78
Chu Hall,Fans,Winter,14,1,5,2.44
Kaplanis Hall,Fans,Winter,15,1,5,0.19
Moulton House,Heaters,Winter,16,1,5,1.3
Gillespie Hall,Air Conditioners,Winter,17,1,5,1.06
Chu Hall,Cooking Wares,Winter,18,1,5,0.68
Gillespie Hall,Laptops,Winter,19,1,5,2.71
Kaplanis Hall,Heaters,Winter,20,1,5,0.88
Smith Hall,Air Conditioners,Winter,21,1,5,1.3
Adams Hall,Kettles,Winter,22,1,5,2.58
Parker Hall,Phones,Winter,23,1,5,2.49
Moulton House,Fans,Winter,0,1,6,1.15
Chu Hall,Lamps,Winter,1,1,6,2.02
Chu Hall,Fridges,Winter,2,1,6,1.49
Adams Hall,Phones,Winter,3,1,6,1.75
Village,Laptops,Winter,4,1,6,0.44
Moulton House,Heaters,Winter,5,1,6,2.33
Moulton House,Cooking Wares,Winter,6,1,6,2.43
Kaplanis Hall,Heaters,Winter,7,1,6,2.0
Adams Hall,Heaters,Winter,8,1,6,2.33
Adams Hall,Fridges,Winter,9,1,6,0.21
Adams Hall,Air Conditioners,Winter,10,1,6,1.79
Smith Hall,Kettles,Winter,11,1,6,2.23
Parker Hall,Kettles,Winter,12,1,6,2.03
Smith Hall,Cooking Wares,Winter,13,1,6,2.55
Kaplanis Hall,Fridges,Winter,14,1,6,1.57
Village,Kettles,Winter,15,1,6,1.73
Kaplanis Hall,Fans,Winter,16,1,6,0.66
Moulton House,Kettles,Winter,17,1,6,1.19
Moulton House,Fans,Winter,18,1,6,1.83
Parker Hall,Air Conditioners,Winter,19,1,6,0.54
Parker Hall,Fridges,Winter,20,1,6,1.2
Kaplanis Hall,Kettles,Winter,21,1,6,3.82
Chu Hall,Phones,Winter,22,1,6,2.14
Parker Hall,Air Conditioners,Winter,23,1,6,1.97
Gillespie Hall,Heaters,Winter,0,1,0,2.35
Gillespie Hall,Phones,Winter,1,1,0,1.59
Gillespie Hall,Kettles,Winter,2,1,0,2.03
Parker Hall,Cooking Wares,Winter,3,1,0,0.19
Kaplanis Hall,Laptops,Winter,4,1,0,1.14
Chu Hall,Fridges,Winter,5,1,0,2.32
Gillespie Hall,Laptops,Winter,6,1,0,0.41
Village,Heaters,Winter,7,1,0,1.79
Parker Hall,Fans,Winter,8,1,0,0.58
Moulton House,Cooking Wares,Winter,9,1,0,1.47
Moulton House,Fans,Winter,10,1,0,0.92
Smith Hall,Kettles,Winter,11,1,0,1.62
Chu Hall,Heaters,Winter,12,1,0,1.96
Smith Hall,Air Conditioners,Winter,13,1,0,1.77
Adams Hall,Kettles,Winter,14,1,0,0.72
Kaplanis Hall,Cooking Wares,Winter,15,1,0,1.87
Kaplanis Hall,Fridges,Winter,16,1,0,2.57
Village,Air Conditioners,Winter,17,1,0,1.28
Adams Hall,Kettles,Winter,18,1,0,2.66
Adams Hall,Laptops,Winter,19,1,0,1.86
